"Click Id","Subs Date","Unsubs Date"
35611829,"2024-03-01 00:30:15","2024-03-01 00:38:04"
56381829,"2024-03-01 00:50:26","2024-03-01 01:19:23"
1791929,"2024-03-01 01:02:47","2024-03-01 01:03:56"
39061929,"2024-03-01 01:49:50","2024-03-01 01:52:15"
18942029,"2024-03-01 02:36:00","2024-03-01 02:38:41"
7300201,"2024-03-01 08:16:47","2024-03-01 08:19:51"
14110401,"2024-03-01 10:23:05","2024-03-01 10:26:50"
17900401,"2024-03-01 10:28:49","2024-03-01 10:30:20"
28860601,"2024-03-01 12:37:11","2024-03-01 12:45:03"
11320701,"2024-03-01 13:18:53","2024-03-01 13:25:04"
16350701,"2024-03-01 13:28:19","2024-03-01 13:30:17"
11011001,"2024-03-01 16:16:04","2024-03-01 16:17:15"
33541001,"2024-03-01 16:50:49","2024-03-01 16:52:04"
4611301,"2024-03-01 19:07:29","2024-03-01 19:14:01"
2241601,"2024-03-01 21:56:46","2024-03-01 22:04:42"
45741801,"2024-03-02 00:49:20","2024-03-02 01:03:47"
33991901,"2024-03-02 01:52:39","2024-03-02 09:33:55"
4250102,"2024-03-02 07:16:00","2024-03-02 07:17:55"
8550202,"2024-03-02 08:22:38","2024-03-02 08:23:56"
12740302,"2024-03-02 09:32:43","2024-03-02 09:35:11"
29200302,"2024-03-02 09:58:30","2024-03-02 10:25:19"
25100702,"2024-03-02 13:50:21","2024-03-02 13:53:03"
14131002,"2024-03-02 16:24:36","2024-03-02 16:26:01"
28501002,"2024-04-08 22:42:58","2024-04-08 22:44:46"
46581608,"2024-04-08 22:42:58","2024-04-08 22:44:46"
15651502,"2024-03-02 21:19:34","2024-03-02 21:20:36"
53541702,"2024-03-02 23:49:20","2024-03-02 23:51:54"
26471802,"2024-03-03 00:26:49","2024-03-03 00:44:00"
45371802,"2024-03-15 23:08:13","2024-03-15 23:08:45"
10531715,"2024-03-15 23:08:13","2024-03-15 23:08:45"
1532202,"2024-03-03 04:09:22","2024-03-03 04:10:54"
3780603,"2024-03-03 12:08:56","2024-03-03 14:28:11"
21040803,"2024-03-03 14:35:49","2024-03-03 14:37:20"
29350803,"2024-03-03 14:50:02","2024-03-03 15:01:24"
15620206,"2024-04-04 03:13:47","2024-04-04 04:47:41"
17030903,"2024-03-03 15:30:26","2024-03-03 19:13:04"
19321003,"2024-03-03 16:42:48","2024-03-03 16:44:43"
25641003,"2024-03-03 16:57:01","2024-03-03 16:57:54"
6331103,"2024-03-03 17:20:58","2024-03-03 17:29:20"
21891103,"2024-03-03 17:43:47","2024-03-03 18:05:58"
13541503,"2024-03-03 21:17:11","2024-03-03 22:13:21"
44871503,"2024-03-03 21:54:12","2024-03-03 22:00:10"
16891603,"2024-03-03 22:19:41","2024-03-03 22:21:45"
29821703,"2024-03-03 23:26:16","2024-03-03 23:27:01"
37951703,"2024-03-03 23:34:23","2024-03-03 23:38:18"
9352103,"2024-03-04 03:45:42","2024-03-04 03:49:40"
22480304,"2024-03-04 09:50:44","2024-03-04 09:54:28"
14360504,"2024-03-04 11:31:53","2024-03-04 11:44:11"
17020804,"2024-03-04 14:38:37","2024-03-04 22:12:50"
6890904,"2024-03-04 15:14:08","2024-03-04 15:15:10"
22860904,"2024-03-04 15:46:23","2024-03-04 15:50:58"
2531004,"2024-03-04 16:05:20","2024-03-04 16:17:21"
18631304,"2024-03-04 19:40:16","2024-03-04 19:41:32"
19201604,"2024-03-04 22:26:55","2024-03-04 22:31:46"
22351604,"2024-03-04 22:31:00","2024-03-04 22:32:01"
2101704,"2024-03-04 23:02:53","2024-03-04 23:03:59"
